#    L    TxT            TxE            TxP            TxW1           TxW2           ExT            ExE            ExP            ExW1           ExW2           PxT            PxE            PxP            PxW1           PxW2           W1xT           W1xE           W1xP           W1xW1          W1xW2          W2xT           W2xE           W2xP           W2xW1          W2xW2       
    42    0.46086E+01    0.24752E-02    0.15791E-04    0.14340E-01    0.32264E-01    0.24752E-02   -0.18179E-04    0.87911E-12    0.30304E-08    0.45756E-08    0.15791E-04    0.87911E-12    0.56650E-10    0.55615E-07    0.12183E-06    0.14340E-01    0.30304E-08    0.55615E-07    0.54336E-03    0.75728E-03    0.32264E-01    0.45756E-08    0.12183E-06    0.75728E-03    0.11027E-02
    43    0.43897E+01    0.26483E-02    0.14966E-04    0.14402E-01    0.32199E-01    0.26483E-02   -0.16190E-04    0.87443E-12    0.31332E-08    0.47377E-08    0.14966E-04    0.87443E-12    0.53679E-10    0.55850E-07    0.12158E-06    0.14402E-01    0.31332E-08    0.55850E-07    0.56705E-03    0.79113E-03    0.32199E-01    0.47377E-08    0.12158E-06    0.79113E-03    0.11524E-02
    44    0.40200E+01    0.18018E-02    0.14196E-04    0.14456E-01    0.32123E-01    0.18018E-02   -0.11250E-04    0.84256E-12    0.31115E-08    0.47163E-08    0.14196E-04    0.84256E-12    0.50909E-10    0.56054E-07    0.12129E-06    0.14456E-01    0.31115E-08    0.56054E-07    0.59107E-03    0.82549E-03    0.32123E-01    0.47163E-08    0.12129E-06    0.82549E-03    0.12028E-02
    45    0.38382E+01    0.21458E-06    0.13477E-04    0.14503E-01    0.32039E-01    0.21458E-06    0.32101E-13    0.78751E-12    0.29638E-08    0.45086E-08    0.13477E-04    0.78751E-12    0.48322E-10    0.56230E-07    0.12097E-06    0.14503E-01    0.29638E-08    0.56230E-07    0.61543E-03    0.86034E-03    0.32039E-01    0.45086E-08    0.12097E-06    0.86034E-03    0.12540E-02
    46    0.37456E+01   -0.44408E-02    0.12803E-04    0.14542E-01    0.31945E-01   -0.44408E-02    0.21386E-04    0.71365E-12    0.26939E-08    0.41202E-08    0.12803E-04    0.71365E-12    0.45900E-10    0.56379E-07    0.12061E-06    0.14542E-01    0.26939E-08    0.56379E-07    0.64011E-03    0.89567E-03    0.31945E-01    0.41202E-08    0.12061E-06    0.89567E-03    0.13058E-02
    47    0.36001E+01   -0.10322E-01    0.12171E-04    0.14575E-01    0.31844E-01   -0.10322E-01    0.45231E-04    0.62687E-12    0.23278E-08    0.35890E-08    0.12171E-04    0.62687E-12    0.43633E-10    0.56503E-07    0.12023E-06    0.14575E-01    0.23278E-08    0.56503E-07    0.66509E-03    0.93146E-03    0.31844E-01    0.35890E-08    0.12023E-06    0.93146E-03    0.13584E-02
    48    0.33416E+01   -0.13066E-01    0.11579E-04    0.14602E-01    0.31734E-01   -0.13066E-01    0.68040E-04    0.53343E-12    0.18967E-08    0.29616E-08    0.11579E-04    0.53343E-12    0.41508E-10    0.56602E-07    0.11982E-06    0.14602E-01    0.18967E-08    0.56602E-07    0.69038E-03    0.96769E-03    0.31734E-01    0.29616E-08    0.11982E-06    0.96769E-03    0.14116E-02
    49    0.30588E+01   -0.86922E-02    0.11023E-04    0.14623E-01    0.31619E-01   -0.86922E-02    0.64032E-04    0.43960E-12    0.14322E-08    0.22840E-08    0.11023E-04    0.43960E-12    0.39515E-10    0.56678E-07    0.11938E-06    0.14623E-01    0.14322E-08    0.56678E-07    0.71594E-03    0.10043E-02    0.31619E-01    0.22840E-08    0.11938E-06    0.10043E-02    0.14654E-02
    50    0.29888E+01    0.96603E-07    0.10501E-04    0.14638E-01    0.31497E-01    0.96603E-07    0.98681E-14    0.35163E-12    0.96569E-09    0.16027E-08    0.10501E-04    0.35163E-12    0.37644E-10    0.56733E-07    0.11893E-06    0.14638E-01    0.96569E-09    0.56733E-07    0.74179E-03    0.10414E-02    0.31497E-01    0.16027E-08    0.11893E-06    0.10414E-02    0.15198E-02
    51    0.29181E+01    0.87114E-02    0.10010E-04    0.14647E-01    0.31369E-01    0.87114E-02   -0.15865E-03    0.27473E-12    0.52615E-09    0.96027E-09    0.10010E-04    0.27473E-12    0.35885E-10    0.56767E-07    0.11845E-06    0.14647E-01    0.52615E-09    0.56767E-07    0.76789E-03    0.10789E-02    0.31369E-01    0.96027E-09    0.11845E-06    0.10789E-02    0.15748E-02
    52    0.30589E+01    0.12776E-01    0.95479E-05    0.14652E-01    0.31236E-01    0.12776E-01   -0.32573E-03    0.20989E-12    0.13345E-09    0.38542E-09    0.95479E-05    0.20989E-12    0.34230E-10    0.56783E-07    0.11795E-06    0.14652E-01    0.13345E-09    0.56783E-07    0.79424E-03    0.11167E-02    0.31236E-01    0.38542E-09    0.11795E-06    0.11167E-02    0.16303E-02
    53    0.30239E+01    0.92855E-02    0.91127E-05    0.14652E-01    0.31098E-01    0.92855E-02   -0.34961E-03    0.15704E-12   -0.19490E-09   -0.96895E-10    0.91127E-05    0.15704E-12    0.32671E-10    0.56780E-07    0.11744E-06    0.14652E-01   -0.19490E-09    0.56780E-07    0.82081E-03    0.11548E-02    0.31098E-01   -0.96895E-10    0.11744E-06    0.11548E-02    0.16864E-02
    54    0.27234E+01    0.33016E-02    0.87025E-05    0.14648E-01    0.30956E-01    0.33016E-02   -0.23463E-03    0.11611E-12   -0.44139E-09   -0.46167E-09    0.87025E-05    0.11611E-12    0.31203E-10    0.56759E-07    0.11691E-06    0.14648E-01   -0.44139E-09    0.56759E-07    0.84759E-03    0.11933E-02    0.30956E-01   -0.46167E-09    0.11691E-06    0.11933E-02    0.17429E-02
    55    0.23644E+01    0.25014E-07    0.83155E-05    0.14639E-01    0.30809E-01    0.25014E-07    0.40785E-14    0.87033E-13   -0.58851E-09   -0.68389E-09    0.83155E-05    0.87033E-13    0.29818E-10    0.56722E-07    0.11636E-06    0.14639E-01   -0.58851E-09    0.56722E-07    0.87456E-03    0.12320E-02    0.30809E-01   -0.68389E-09    0.11636E-06    0.12320E-02    0.17998E-02
    56    0.21589E+01   -0.17291E-02    0.79500E-05    0.14625E-01    0.30659E-01   -0.17291E-02    0.21343E-03    0.69467E-13   -0.62366E-09   -0.74553E-09    0.79500E-05    0.69467E-13    0.28510E-10    0.56667E-07    0.11580E-06    0.14625E-01   -0.62366E-09    0.56667E-07    0.90170E-03    0.12711E-02    0.30659E-01   -0.74553E-09    0.11580E-06    0.12711E-02    0.18571E-02
    57    0.20408E+01   -0.18358E-02    0.76046E-05    0.14607E-01    0.30504E-01   -0.18358E-02    0.29820E-03    0.61960E-13   -0.55386E-09   -0.65648E-09    0.76046E-05    0.61960E-13    0.27275E-10    0.56596E-07    0.11523E-06    0.14607E-01   -0.55386E-09    0.56596E-07    0.92898E-03    0.13103E-02    0.30504E-01   -0.65648E-09    0.11523E-06    0.13103E-02    0.19147E-02
