#    L    TxT            TxE            TxP            TxW1           TxW2           ExT            ExE            ExP            ExW1           ExW2           PxT            PxE            PxP            PxW1           PxW2           W1xT           W1xE           W1xP           W1xW1          W1xW2          W2xT           W2xE           W2xP           W2xW1          W2xW2       
    42    0.14336E+04    0.18126E+01    0.21823E-04    0.43993E-02    0.35787E-02    0.18126E+01    0.75661E-01   -0.19657E-07    0.15893E-07    0.44868E-08    0.21823E-04   -0.19657E-07    0.78038E-10    0.26806E-07    0.20901E-07    0.43993E-02    0.15893E-07    0.26806E-07    0.21285E-03    0.12998E-03    0.35787E-02    0.44868E-08    0.20901E-07    0.12998E-03    0.11726E-03
    43    0.14554E+04    0.17116E+01    0.20853E-04    0.44398E-02    0.36092E-02    0.17116E+01    0.81823E-01   -0.19386E-07    0.63057E-08    0.94293E-08    0.20853E-04   -0.19386E-07    0.74305E-10    0.27062E-07    0.21093E-07    0.44398E-02    0.63057E-08    0.27062E-07    0.22426E-03    0.13705E-03    0.36092E-02    0.94293E-08    0.21093E-07    0.13705E-03    0.12354E-03
    44    0.14771E+04    0.15965E+01    0.19941E-04    0.44801E-02    0.36385E-02    0.15965E+01    0.88301E-01   -0.19116E-07   -0.42212E-08    0.13341E-07    0.19941E-04   -0.19116E-07    0.70812E-10    0.27306E-07    0.21276E-07    0.44801E-02   -0.42212E-08    0.27306E-07    0.23597E-03    0.14431E-03    0.36385E-02    0.13341E-07    0.21276E-07    0.14431E-03    0.12998E-03
    45    0.14992E+04    0.14669E+01    0.19084E-04    0.45206E-02    0.36667E-02    0.14669E+01    0.95101E-01   -0.18847E-07   -0.12976E-07    0.14285E-07    0.19084E-04   -0.18847E-07    0.67538E-10    0.27538E-07    0.21450E-07    0.45206E-02   -0.12976E-07    0.27538E-07    0.24796E-03    0.15174E-03    0.36667E-02    0.14285E-07    0.21450E-07    0.15174E-03    0.13658E-03
    46    0.15216E+04    0.13206E+01    0.18277E-04    0.45613E-02    0.36940E-02    0.13206E+01    0.10223E+00   -0.18579E-07   -0.17779E-07    0.10978E-07    0.18277E-04   -0.18579E-07    0.64463E-10    0.27759E-07    0.21616E-07    0.45613E-02   -0.17779E-07    0.27759E-07    0.26024E-03    0.15936E-03    0.36940E-02    0.10978E-07    0.21616E-07    0.15936E-03    0.14333E-03
    47    0.15442E+04    0.11587E+01    0.17517E-04    0.46013E-02    0.37206E-02    0.11587E+01    0.10969E+00   -0.18312E-07   -0.18569E-07    0.47515E-08    0.17517E-04   -0.18312E-07    0.61572E-10    0.27970E-07    0.21773E-07    0.46013E-02   -0.18569E-07    0.27970E-07    0.27279E-03    0.16714E-03    0.37206E-02    0.47515E-08    0.21773E-07    0.16714E-03    0.15024E-03
    48    0.15669E+04    0.98565E+00    0.16800E-04    0.46394E-02    0.37471E-02    0.98565E+00    0.11747E+00   -0.18046E-07   -0.15819E-07   -0.24111E-08    0.16800E-04   -0.18046E-07    0.58854E-10    0.28170E-07    0.21921E-07    0.46394E-02   -0.15819E-07    0.28170E-07    0.28563E-03    0.17510E-03    0.37471E-02   -0.24111E-08    0.21921E-07    0.17510E-03    0.15729E-03
    49    0.15897E+04    0.80533E+00    0.16124E-04    0.46743E-02    0.37737E-02    0.80533E+00    0.12555E+00   -0.17782E-07   -0.99983E-08   -0.85258E-08    0.16124E-04   -0.17782E-07    0.56295E-10    0.28360E-07    0.22062E-07    0.46743E-02   -0.99983E-08    0.28360E-07    0.29873E-03    0.18323E-03    0.37737E-02   -0.85258E-08    0.22062E-07    0.18323E-03    0.16449E-03
    50    0.16129E+04    0.61483E+00    0.15484E-04    0.47050E-02    0.38008E-02    0.61483E+00    0.13391E+00   -0.17518E-07   -0.15793E-08   -0.11609E-07    0.15484E-04   -0.17518E-07    0.53884E-10    0.28539E-07    0.22194E-07    0.47050E-02   -0.15793E-08    0.28539E-07    0.31210E-03    0.19153E-03    0.38008E-02   -0.11609E-07    0.22194E-07    0.19153E-03    0.17184E-03
    51    0.16364E+04    0.40973E+00    0.14878E-04    0.47306E-02    0.38284E-02    0.40973E+00    0.14250E+00   -0.17254E-07    0.86422E-08   -0.10307E-07    0.14878E-04   -0.17254E-07    0.51608E-10    0.28709E-07    0.22319E-07    0.47306E-02    0.86422E-08    0.28709E-07    0.32574E-03    0.19998E-03    0.38284E-02   -0.10307E-07    0.22319E-07    0.19998E-03    0.17932E-03
