#    L    TxT            TxE            TxP            TxW1           TxW2           ExT            ExE            ExP            ExW1           ExW2           PxT            PxE            PxP            PxW1           PxW2           W1xT           W1xE           W1xP           W1xW1          W1xW2          W2xT           W2xE           W2xP           W2xW1          W2xW2       
    41    0.48280E+01    0.12921E-02    0.16573E-04    0.14146E-01    0.32083E-01    0.12921E-02   -0.10177E-04    0.84582E-12    0.27812E-08    0.41974E-08    0.16573E-04    0.84582E-12    0.59481E-10    0.54871E-07    0.12117E-06    0.14146E-01    0.27812E-08    0.54871E-07    0.51579E-03    0.71802E-03    0.32083E-01    0.41974E-08    0.12117E-06    0.71802E-03    0.10453E-02
    42    0.45811E+01    0.24752E-02    0.15695E-04    0.14217E-01    0.32032E-01    0.24752E-02   -0.18179E-04    0.87218E-12    0.30053E-08    0.45381E-08    0.15695E-04    0.87218E-12    0.56315E-10    0.55140E-07    0.12097E-06    0.14217E-01    0.30053E-08    0.55140E-07    0.53898E-03    0.75114E-03    0.32032E-01    0.45381E-08    0.12097E-06    0.75114E-03    0.10939E-02
    43    0.43640E+01    0.26483E-02    0.14877E-04    0.14280E-01    0.31970E-01    0.26483E-02   -0.16190E-04    0.86761E-12    0.31075E-08    0.46993E-08    0.14877E-04    0.86761E-12    0.53366E-10    0.55379E-07    0.12073E-06    0.14280E-01    0.31075E-08    0.55379E-07    0.56252E-03    0.78479E-03    0.31970E-01    0.46993E-08    0.12073E-06    0.78479E-03    0.11433E-02
    44    0.39960E+01    0.18018E-02    0.14113E-04    0.14336E-01    0.31899E-01    0.18018E-02   -0.11250E-04    0.83606E-12    0.30863E-08    0.46784E-08    0.14113E-04    0.83606E-12    0.50616E-10    0.55588E-07    0.12045E-06    0.14336E-01    0.30863E-08    0.55588E-07    0.58641E-03    0.81895E-03    0.31899E-01    0.46784E-08    0.12045E-06    0.81895E-03    0.11934E-02
    45    0.38158E+01    0.21297E-06    0.13399E-04    0.14384E-01    0.31817E-01    0.21297E-06    0.31855E-13    0.78150E-12    0.29400E-08    0.44728E-08    0.13399E-04    0.78150E-12    0.48048E-10    0.55769E-07    0.12014E-06    0.14384E-01    0.29400E-08    0.55769E-07    0.61063E-03    0.85361E-03    0.31817E-01    0.44728E-08    0.12014E-06    0.85361E-03    0.12443E-02
    46    0.37246E+01   -0.44408E-02    0.12730E-04    0.14425E-01    0.31727E-01   -0.44408E-02    0.21386E-04    0.70827E-12    0.26724E-08    0.40877E-08    0.12730E-04    0.70827E-12    0.45644E-10    0.55923E-07    0.11980E-06    0.14425E-01    0.26724E-08    0.55923E-07    0.63518E-03    0.88875E-03    0.31727E-01    0.40877E-08    0.11980E-06    0.88875E-03    0.12959E-02
    47    0.35804E+01   -0.10322E-01    0.12103E-04    0.14459E-01    0.31629E-01   -0.10322E-01    0.45231E-04    0.62221E-12    0.23093E-08    0.35610E-08    0.12103E-04    0.62221E-12    0.43392E-10    0.56051E-07    0.11943E-06    0.14459E-01    0.23093E-08    0.56051E-07    0.66003E-03    0.92434E-03    0.31629E-01    0.35610E-08    0.11943E-06    0.92434E-03    0.13482E-02
    48    0.33232E+01   -0.13066E-01    0.11515E-04    0.14487E-01    0.31523E-01   -0.13066E-01    0.68040E-04    0.52952E-12    0.18818E-08    0.29386E-08    0.11515E-04    0.52952E-12    0.41282E-10    0.56155E-07    0.11903E-06    0.14487E-01    0.18818E-08    0.56155E-07    0.68518E-03    0.96038E-03    0.31523E-01    0.29386E-08    0.11903E-06    0.96038E-03    0.14011E-02
    49    0.30416E+01   -0.86922E-02    0.10963E-04    0.14509E-01    0.31411E-01   -0.86922E-02    0.64032E-04    0.43643E-12    0.14210E-08    0.22664E-08    0.10963E-04    0.43643E-12    0.39304E-10    0.56237E-07    0.11861E-06    0.14509E-01    0.14210E-08    0.56237E-07    0.71062E-03    0.99684E-03    0.31411E-01    0.22664E-08    0.11861E-06    0.99684E-03    0.14546E-02
    50    0.29726E+01    0.95931E-07    0.10445E-04    0.14525E-01    0.31292E-01    0.95931E-07    0.97978E-14    0.34915E-12    0.95808E-09    0.15904E-08    0.10445E-04    0.34915E-12    0.37446E-10    0.56297E-07    0.11816E-06    0.14525E-01    0.95808E-09    0.56297E-07    0.73633E-03    0.10337E-02    0.31292E-01    0.15904E-08    0.11816E-06    0.10337E-02    0.15088E-02
