#    L    TxT            TxE            TxP            TxW1           TxW2           ExT            ExE            ExP            ExW1           ExW2           PxT            PxE            PxP            PxW1           PxW2           W1xT           W1xE           W1xP           W1xW1          W1xW2          W2xT           W2xE           W2xP           W2xW1          W2xW2       
    37    0.57505E+01    0.22916E-06    0.20126E-04    0.13843E-01    0.31579E-01    0.22916E-06    0.21149E-13    0.82256E-12    0.11730E-08    0.19667E-08    0.20126E-04    0.82256E-12    0.71935E-10    0.53728E-07    0.11896E-06    0.13843E-01    0.11730E-08    0.53728E-07    0.42770E-03    0.59255E-03    0.31579E-01    0.19667E-08    0.11896E-06    0.59255E-03    0.85805E-03
    38    0.53927E+01   -0.55383E-03    0.18960E-04    0.13943E-01    0.31550E-01   -0.55383E-03    0.41830E-05    0.89292E-12    0.14916E-08    0.24383E-08    0.18960E-04    0.89292E-12    0.67745E-10    0.54106E-07    0.11884E-06    0.13943E-01    0.14916E-08    0.54106E-07    0.44913E-03    0.62309E-03    0.31550E-01    0.24383E-08    0.11884E-06    0.62309E-03    0.90269E-03
    39    0.51331E+01   -0.64604E-03    0.17879E-04    0.14033E-01    0.31507E-01   -0.64604E-03    0.55145E-05    0.92699E-12    0.17481E-08    0.28120E-08    0.17879E-04    0.92699E-12    0.63867E-10    0.54447E-07    0.11868E-06    0.14033E-01    0.17481E-08    0.54447E-07    0.47095E-03    0.65421E-03    0.31507E-01    0.28120E-08    0.11868E-06    0.65421E-03    0.94818E-03
    40    0.48216E+01    0.25444E-06    0.16875E-04    0.14114E-01    0.31451E-01    0.25444E-06    0.31187E-13    0.92591E-12    0.19204E-08    0.30567E-08    0.16875E-04    0.92591E-12    0.60271E-10    0.54753E-07    0.11847E-06    0.14114E-01    0.19204E-08    0.54753E-07    0.49314E-03    0.68587E-03    0.31451E-01    0.30567E-08    0.11847E-06    0.68587E-03    0.99447E-03
    41    0.46618E+01    0.12921E-02    0.15941E-04    0.14186E-01    0.31383E-01    0.12921E-02   -0.10177E-04    0.89186E-12    0.19918E-08    0.31499E-08    0.15941E-04    0.89186E-12    0.56929E-10    0.55024E-07    0.11821E-06    0.14186E-01    0.19918E-08    0.55024E-07    0.51568E-03    0.71807E-03    0.31383E-01    0.31499E-08    0.11821E-06    0.71807E-03    0.10415E-02
    42    0.44161E+01    0.24752E-02    0.15072E-04    0.14249E-01    0.31304E-01    0.24752E-02   -0.18179E-04    0.83123E-12    0.19691E-08    0.31028E-08    0.15072E-04    0.83123E-12    0.53821E-10    0.55261E-07    0.11792E-06    0.14249E-01    0.19691E-08    0.55261E-07    0.53856E-03    0.75076E-03    0.31304E-01    0.31028E-08    0.11792E-06    0.75076E-03    0.10894E-02
    43    0.42004E+01    0.26483E-02    0.14262E-04    0.14304E-01    0.31214E-01    0.26483E-02   -0.16190E-04    0.75145E-12    0.18648E-08    0.29351E-08    0.14262E-04    0.75145E-12    0.50929E-10    0.55467E-07    0.11760E-06    0.14304E-01    0.18648E-08    0.55467E-07    0.56176E-03    0.78394E-03    0.31214E-01    0.29351E-08    0.11760E-06    0.78394E-03    0.11379E-02
    44    0.38337E+01    0.18018E-02    0.13507E-04    0.14350E-01    0.31114E-01    0.18018E-02   -0.11250E-04    0.65996E-12    0.16914E-08    0.26666E-08    0.13507E-04    0.65996E-12    0.48235E-10    0.55642E-07    0.11723E-06    0.14350E-01    0.16914E-08    0.55642E-07    0.58526E-03    0.81757E-03    0.31114E-01    0.26666E-08    0.11723E-06    0.81757E-03    0.11871E-02
    45    0.36551E+01    0.15374E-06    0.12802E-04    0.14389E-01    0.31005E-01    0.15374E-06    0.16478E-13    0.56421E-12    0.14614E-08    0.23170E-08    0.12802E-04    0.56421E-12    0.45720E-10    0.55787E-07    0.11684E-06    0.14389E-01    0.14614E-08    0.55787E-07    0.60907E-03    0.85165E-03    0.31005E-01    0.23170E-08    0.11684E-06    0.85165E-03    0.12369E-02
    46    0.35656E+01   -0.44409E-02    0.12143E-04    0.14421E-01    0.30888E-01   -0.44409E-02    0.21386E-04    0.47083E-12    0.11892E-08    0.19084E-08    0.12143E-04    0.47083E-12    0.43369E-10    0.55905E-07    0.11641E-06    0.14421E-01    0.11892E-08    0.55905E-07    0.63315E-03    0.88615E-03    0.30888E-01    0.19084E-08    0.11641E-06    0.88615E-03    0.12874E-02
    47    0.34231E+01   -0.10322E-01    0.11525E-04    0.14445E-01    0.30763E-01   -0.10322E-01    0.45231E-04    0.38322E-12    0.89634E-09    0.14720E-08    0.11525E-04    0.38322E-12    0.41168E-10    0.55996E-07    0.11596E-06    0.14445E-01    0.89634E-09    0.55996E-07    0.65750E-03    0.92105E-03    0.30763E-01    0.14720E-08    0.11596E-06    0.92105E-03    0.13384E-02
    48    0.31677E+01   -0.13066E-01    0.10946E-04    0.14463E-01    0.30631E-01   -0.13066E-01    0.68040E-04    0.30398E-12    0.60608E-09    0.10412E-08    0.10946E-04    0.30398E-12    0.39108E-10    0.56063E-07    0.11548E-06    0.14463E-01    0.60608E-09    0.56063E-07    0.68211E-03    0.95633E-03    0.30631E-01    0.10412E-08    0.11548E-06    0.95633E-03    0.13901E-02
    49    0.28880E+01   -0.86923E-02    0.10404E-04    0.14475E-01    0.30492E-01   -0.86923E-02    0.64032E-04    0.23571E-12    0.34177E-09    0.64979E-09    0.10404E-04    0.23571E-12    0.37177E-10    0.56106E-07    0.11497E-06    0.14475E-01    0.34177E-09    0.56106E-07    0.70695E-03    0.99197E-03    0.30492E-01    0.64979E-09    0.11497E-06    0.99197E-03    0.14422E-02
    50    0.28210E+01    0.48707E-07    0.98951E-05    0.14482E-01    0.30347E-01    0.48707E-07    0.53208E-14    0.18101E-12    0.12676E-09    0.33109E-09    0.98951E-05    0.18101E-12    0.35366E-10    0.56126E-07    0.11445E-06    0.14482E-01    0.12676E-09    0.56126E-07    0.73202E-03    0.10279E-02    0.30347E-01    0.33109E-09    0.11445E-06    0.10279E-02    0.14948E-02
    51    0.27533E+01    0.87113E-02    0.94167E-05    0.14482E-01    0.30197E-01    0.87113E-02   -0.15865E-03    0.14171E-12   -0.19881E-10    0.11248E-09    0.94167E-05    0.14171E-12    0.33664E-10    0.56126E-07    0.11390E-06    0.14482E-01   -0.19881E-10    0.56126E-07    0.75729E-03    0.10642E-02    0.30197E-01    0.11248E-09    0.11390E-06    0.10642E-02    0.15480E-02
    52    0.28970E+01    0.12776E-01    0.89669E-05    0.14478E-01    0.30042E-01    0.12776E-01   -0.32573E-03    0.11660E-12   -0.96185E-10   -0.35746E-11    0.89669E-05    0.11660E-12    0.32064E-10    0.56106E-07    0.11334E-06    0.14478E-01   -0.96185E-10    0.56106E-07    0.78276E-03    0.11008E-02    0.30042E-01   -0.35746E-11    0.11334E-06    0.11008E-02    0.16015E-02
    53    0.28650E+01    0.92855E-02    0.85438E-05    0.14468E-01    0.29882E-01    0.92855E-02   -0.34961E-03    0.10372E-12   -0.10444E-09   -0.20809E-10    0.85438E-05    0.10372E-12    0.30559E-10    0.56065E-07    0.11275E-06    0.14468E-01   -0.10444E-09    0.56065E-07    0.80838E-03    0.11376E-02    0.29882E-01   -0.20809E-10    0.11275E-06    0.11376E-02    0.16554E-02
    54    0.25673E+01    0.33016E-02    0.81454E-05    0.14454E-01    0.29717E-01    0.33016E-02   -0.23463E-03    0.10111E-12   -0.46951E-10    0.57037E-10    0.81454E-05    0.10111E-12    0.29143E-10    0.56006E-07    0.11215E-06    0.14454E-01   -0.46951E-10    0.56006E-07    0.83415E-03    0.11747E-02    0.29717E-01    0.57037E-10    0.11215E-06    0.11747E-02    0.17096E-02
    55    0.22111E+01    0.28047E-07    0.77700E-05    0.14434E-01    0.29548E-01    0.28047E-07    0.28362E-14    0.10678E-12    0.73997E-10    0.22623E-09    0.77700E-05    0.10678E-12    0.27808E-10    0.55928E-07    0.11154E-06    0.14434E-01    0.73997E-10    0.55928E-07    0.86004E-03    0.12119E-02    0.29548E-01    0.22623E-09    0.11154E-06    0.12119E-02    0.17641E-02
    56    0.20084E+01   -0.17291E-02    0.74158E-05    0.14410E-01    0.29375E-01   -0.17291E-02    0.21343E-03    0.11879E-12    0.25407E-09    0.48017E-09    0.74158E-05    0.11879E-12    0.26548E-10    0.55832E-07    0.11090E-06    0.14410E-01    0.25407E-09    0.55832E-07    0.88602E-03    0.12493E-02    0.29375E-01    0.48017E-09    0.11090E-06    0.12493E-02    0.18189E-02
    57    0.18931E+01   -0.18358E-02    0.70814E-05    0.14381E-01    0.29198E-01   -0.18358E-02    0.29820E-03    0.13521E-12    0.48081E-09    0.80085E-09    0.70814E-05    0.13521E-12    0.25359E-10    0.55718E-07    0.11026E-06    0.14381E-01    0.48081E-09    0.55718E-07    0.91206E-03    0.12868E-02    0.29198E-01    0.80085E-09    0.11026E-06    0.12868E-02    0.18738E-02
    58    0.18783E+01   -0.12124E-02    0.67656E-05    0.14347E-01    0.29016E-01   -0.12124E-02    0.26287E-03    0.15410E-12    0.73971E-09    0.11674E-08    0.67656E-05    0.15410E-12    0.24236E-10    0.55586E-07    0.10959E-06    0.14347E-01    0.73971E-09    0.55586E-07    0.93814E-03    0.13243E-02    0.29016E-01    0.11674E-08    0.10959E-06    0.13243E-02    0.19288E-02
    59    0.18285E+01   -0.77346E-03    0.64671E-05    0.14309E-01    0.28830E-01   -0.77346E-03    0.14575E-03    0.17356E-12    0.10163E-08    0.15590E-08    0.64671E-05    0.17356E-12    0.23174E-10    0.55435E-07    0.10891E-06    0.14309E-01    0.10163E-08    0.55435E-07    0.96423E-03    0.13619E-02    0.28830E-01    0.15590E-08    0.10891E-06    0.13619E-02    0.19839E-02
    60    0.17566E+01    0.50846E-07    0.61848E-05    0.14265E-01    0.28640E-01    0.50846E-07    0.43832E-14    0.19164E-12    0.12960E-08    0.19548E-08    0.61848E-05    0.19164E-12    0.22170E-10    0.55266E-07    0.10821E-06    0.14265E-01    0.12960E-08    0.55266E-07    0.99030E-03    0.13995E-02    0.28640E-01    0.19548E-08    0.10821E-06    0.13995E-02    0.20390E-02
    61    0.19690E+01    0.18113E-02    0.59175E-05    0.14217E-01    0.28445E-01    0.18113E-02   -0.80085E-04    0.20675E-12    0.15649E-08    0.23347E-08    0.59175E-05    0.20675E-12    0.21219E-10    0.55078E-07    0.10749E-06    0.14217E-01    0.15649E-08    0.55078E-07    0.10163E-02    0.14370E-02    0.28445E-01    0.23347E-08    0.10749E-06    0.14370E-02    0.20939E-02
    62    0.18651E+01    0.37229E-02    0.56644E-05    0.14164E-01    0.28246E-01    0.37229E-02   -0.10301E-03    0.21843E-12    0.18109E-08    0.26819E-08    0.56644E-05    0.21843E-12    0.20318E-10    0.54872E-07    0.10676E-06    0.14164E-01    0.18109E-08    0.54872E-07    0.10423E-02    0.14744E-02    0.28246E-01    0.26819E-08    0.10676E-06    0.14744E-02    0.21488E-02
    63    0.16578E+01    0.47585E-02    0.54245E-05    0.14107E-01    0.28043E-01    0.47585E-02   -0.10297E-03    0.22657E-12    0.20226E-08    0.29804E-08    0.54245E-05    0.22657E-12    0.19464E-10    0.54649E-07    0.10601E-06    0.14107E-01    0.20226E-08    0.54649E-07    0.10681E-02    0.15116E-02    0.28043E-01    0.29804E-08    0.10601E-06    0.15116E-02    0.22035E-02
    64    0.16339E+01    0.37192E-02    0.51971E-05    0.14045E-01    0.27835E-01    0.37192E-02   -0.62183E-04    0.23104E-12    0.21884E-08    0.32142E-08    0.51971E-05    0.23104E-12    0.18654E-10    0.54408E-07    0.10525E-06    0.14045E-01    0.21884E-08    0.54408E-07    0.10938E-02    0.15488E-02    0.27835E-01    0.32142E-08    0.10525E-06    0.15488E-02    0.22579E-02
    65    0.14121E+01    0.61486E-07    0.49815E-05    0.13978E-01    0.27624E-01    0.61486E-07    0.81570E-14    0.23171E-12    0.22968E-08    0.33672E-08    0.49815E-05    0.23171E-12    0.17886E-10    0.54150E-07    0.10446E-06    0.13978E-01    0.22968E-08    0.54150E-07    0.11194E-02    0.15857E-02    0.27624E-01    0.33672E-08    0.10446E-06    0.15857E-02    0.23121E-02
    66    0.12786E+01   -0.46037E-02    0.47768E-05    0.13907E-01    0.27410E-01   -0.46037E-02    0.21984E-04    0.22858E-12    0.23393E-08    0.34277E-08    0.47768E-05    0.22858E-12    0.17157E-10    0.53876E-07    0.10367E-06    0.13907E-01    0.23393E-08    0.53876E-07    0.11448E-02    0.16223E-02    0.27410E-01    0.34277E-08    0.10367E-06    0.16223E-02    0.23659E-02
    67    0.10724E+01   -0.77600E-02    0.45824E-05    0.13832E-01    0.27192E-01   -0.77600E-02    0.10896E-04    0.22216E-12    0.23192E-08    0.34003E-08    0.45824E-05    0.22216E-12    0.16464E-10    0.53586E-07    0.10286E-06    0.13832E-01    0.23192E-08    0.53586E-07    0.11701E-02    0.16588E-02    0.27192E-01    0.34003E-08    0.10286E-06    0.16588E-02    0.24194E-02
