#    L    TxT            TxE            TxP            TxW1           TxW2           ExT            ExE            ExP            ExW1           ExW2           PxT            PxE            PxP            PxW1           PxW2           W1xT           W1xE           W1xP           W1xW1          W1xW2          W2xT           W2xE           W2xP           W2xW1          W2xW2       
    49    0.32006E+01   -0.86922E-02    0.11518E-04    0.15565E-01    0.33335E-01   -0.86922E-02    0.64032E-04    0.46582E-12    0.15254E-08    0.24296E-08    0.11518E-04    0.46582E-12    0.41259E-10    0.60333E-07    0.12582E-06    0.15565E-01    0.15254E-08    0.60333E-07    0.76001E-03    0.10664E-02    0.33335E-01    0.24296E-08    0.12582E-06    0.10664E-02    0.15542E-02
    50    0.31217E+01    0.10216E-06    0.10966E-04    0.15568E-01    0.33184E-01    0.10216E-06    0.10478E-13    0.37217E-12    0.10288E-08    0.17043E-08    0.10966E-04    0.37217E-12    0.39281E-10    0.60342E-07    0.12526E-06    0.15568E-01    0.10288E-08    0.60342E-07    0.78690E-03    0.11050E-02    0.33184E-01    0.17043E-08    0.12526E-06    0.11050E-02    0.16108E-02
    51    0.30428E+01    0.87114E-02    0.10446E-04    0.15566E-01    0.33028E-01    0.87114E-02   -0.15865E-03    0.29038E-12    0.56160E-09    0.10215E-08    0.10446E-04    0.29038E-12    0.37422E-10    0.60332E-07    0.12468E-06    0.15566E-01    0.56160E-09    0.60332E-07    0.81404E-03    0.11439E-02    0.33028E-01    0.10215E-08    0.12468E-06    0.11439E-02    0.16680E-02
    52    0.31759E+01    0.12776E-01    0.99576E-05    0.15560E-01    0.32867E-01    0.12776E-01   -0.32573E-03    0.22149E-12    0.14478E-09    0.41131E-09    0.99576E-05    0.22149E-12    0.35675E-10    0.60302E-07    0.12408E-06    0.15560E-01    0.14478E-09    0.60302E-07    0.84140E-03    0.11832E-02    0.32867E-01    0.41131E-09    0.12408E-06    0.11832E-02    0.17257E-02
    53    0.31339E+01    0.92855E-02    0.94978E-05    0.15548E-01    0.32702E-01    0.92855E-02   -0.34961E-03    0.16539E-12   -0.20333E-09   -0.10013E-09    0.94978E-05    0.16539E-12    0.34030E-10    0.60253E-07    0.12346E-06    0.15548E-01   -0.20333E-09    0.60253E-07    0.86898E-03    0.12228E-02    0.32702E-01   -0.10013E-09    0.12346E-06    0.12228E-02    0.17838E-02
    54    0.28268E+01    0.33016E-02    0.90647E-05    0.15531E-01    0.32532E-01    0.33016E-02   -0.23463E-03    0.12198E-12   -0.46439E-09   -0.48654E-09    0.90647E-05    0.12198E-12    0.32482E-10    0.60187E-07    0.12283E-06    0.15531E-01   -0.46439E-09    0.60187E-07    0.89675E-03    0.12627E-02    0.32532E-01   -0.48654E-09    0.12283E-06    0.12627E-02    0.18424E-02
    55    0.24616E+01    0.26166E-07    0.86564E-05    0.15510E-01    0.32357E-01    0.26166E-07    0.43129E-14    0.91177E-13   -0.62004E-09   -0.72171E-09    0.86564E-05    0.91177E-13    0.31023E-10    0.60102E-07    0.12218E-06    0.15510E-01   -0.62004E-09    0.60102E-07    0.92468E-03    0.13029E-02    0.32357E-01   -0.72171E-09    0.12218E-06    0.13029E-02    0.19013E-02
    56    0.22504E+01   -0.17291E-02    0.82710E-05    0.15485E-01    0.32179E-01   -0.17291E-02    0.21343E-03    0.72580E-13   -0.65712E-09   -0.78680E-09    0.82710E-05    0.72580E-13    0.29645E-10    0.60002E-07    0.12152E-06    0.15485E-01   -0.65712E-09    0.60002E-07    0.95277E-03    0.13433E-02    0.32179E-01   -0.78680E-09    0.12152E-06    0.13433E-02    0.19607E-02
    57    0.21270E+01   -0.18358E-02    0.79070E-05    0.15455E-01    0.31998E-01   -0.18358E-02    0.29820E-03    0.64642E-13   -0.58324E-09   -0.69253E-09    0.79070E-05    0.64642E-13    0.28345E-10    0.59884E-07    0.12084E-06    0.15455E-01   -0.58324E-09    0.59884E-07    0.98099E-03    0.13839E-02    0.31998E-01   -0.69253E-09    0.12084E-06    0.13839E-02    0.20203E-02
    58    0.21044E+01   -0.12124E-02    0.75630E-05    0.15421E-01    0.31812E-01   -0.12124E-02    0.26287E-03    0.65522E-13   -0.41118E-09   -0.45701E-09    0.75630E-05    0.65522E-13    0.27116E-10    0.59750E-07    0.12016E-06    0.15421E-01   -0.41118E-09    0.59750E-07    0.10093E-02    0.14246E-02    0.31812E-01   -0.45701E-09    0.12016E-06    0.14246E-02    0.20801E-02
