#    L    TxT            TxE            TxP            TxW1           TxW2           ExT            ExE            ExP            ExW1           ExW2           PxT            PxE            PxP            PxW1           PxW2           W1xT           W1xE           W1xP           W1xW1          W1xW2          W2xT           W2xE           W2xP           W2xW1          W2xW2       
    51    0.16364E+04    0.40973E+00    0.14878E-04   -0.53423E-05   -0.26553E-04    0.40973E+00    0.14250E+00   -0.17254E-07   -0.76045E-08    0.71159E-08    0.14878E-04   -0.17254E-07    0.51608E-10   -0.29353E-09    0.61507E-09   -0.53423E-05   -0.76045E-08   -0.29353E-09    0.18662E-05   -0.42357E-05   -0.26553E-04    0.71159E-08    0.61507E-09   -0.42357E-05    0.14345E-04
    52    0.16602E+04    0.18523E+00    0.14304E-04   -0.46263E-05   -0.27851E-04    0.18523E+00    0.15142E+00   -0.16991E-07   -0.52629E-08    0.11967E-07    0.14304E-04   -0.16991E-07    0.49459E-10   -0.28620E-09    0.60200E-09   -0.46263E-05   -0.52629E-08   -0.28620E-09    0.18429E-05   -0.41724E-05   -0.27851E-04    0.11967E-07    0.60200E-09   -0.41724E-05    0.14154E-04
    53    0.16841E+04   -0.61702E-01    0.13760E-04   -0.39570E-05   -0.28797E-04   -0.61702E-01    0.16082E+00   -0.16729E-07   -0.17882E-08    0.14547E-07    0.13760E-04   -0.16729E-07    0.47428E-10   -0.27913E-09    0.58931E-09   -0.39570E-05   -0.17882E-08   -0.27913E-09    0.18194E-05   -0.41091E-05   -0.28797E-04    0.14547E-07    0.58931E-09   -0.41091E-05    0.13962E-04
    54    0.17079E+04   -0.32615E+00    0.13244E-04   -0.36688E-05   -0.28458E-04   -0.32615E+00    0.17069E+00   -0.16468E-07    0.18162E-08    0.14448E-07    0.13244E-04   -0.16468E-07    0.45507E-10   -0.27231E-09    0.57699E-09   -0.36688E-05    0.18162E-08   -0.27231E-09    0.17957E-05   -0.40456E-05   -0.28458E-04    0.14448E-07    0.57699E-09   -0.40456E-05    0.13769E-04
    55    0.17319E+04   -0.60307E+00    0.12754E-04   -0.40965E-05   -0.25901E-04   -0.60307E+00    0.18101E+00   -0.16208E-07    0.45471E-08    0.11262E-07    0.12754E-04   -0.16208E-07    0.43689E-10   -0.26572E-09    0.56500E-09   -0.40965E-05    0.45471E-08   -0.26572E-09    0.17718E-05   -0.39823E-05   -0.25901E-04    0.11262E-07    0.56500E-09   -0.39823E-05    0.13575E-04
    56    0.17563E+04   -0.89368E+00    0.12288E-04   -0.54268E-05   -0.20621E-04   -0.89368E+00    0.19165E+00   -0.15950E-07    0.56443E-08    0.49644E-08    0.12288E-04   -0.15950E-07    0.41965E-10   -0.25936E-09    0.55334E-09   -0.54268E-05    0.56443E-08   -0.25936E-09    0.17478E-05   -0.39190E-05   -0.20621E-04    0.49644E-08    0.55334E-09   -0.39190E-05    0.13380E-04
    57    0.17809E+04   -0.11979E+01    0.11845E-04   -0.72538E-05   -0.13830E-04   -0.11979E+01    0.20249E+00   -0.15693E-07    0.53191E-08   -0.29381E-08    0.11845E-04   -0.15693E-07    0.40330E-10   -0.25320E-09    0.54197E-09   -0.72538E-05    0.53191E-08   -0.25320E-09    0.17236E-05   -0.38560E-05   -0.13830E-04   -0.29381E-08    0.54197E-09   -0.38560E-05    0.13185E-04
    58    0.18059E+04   -0.15166E+01    0.11423E-04   -0.90239E-05   -0.71710E-05   -0.15166E+01    0.21354E+00   -0.15439E-07    0.40258E-08   -0.10555E-07    0.11423E-04   -0.15439E-07    0.38778E-10   -0.24724E-09    0.53089E-09   -0.90239E-05    0.40258E-08   -0.24724E-09    0.16994E-05   -0.37933E-05   -0.71710E-05   -0.10555E-07    0.53089E-09   -0.37933E-05    0.12990E-04
    59    0.18311E+04   -0.18506E+01    0.11022E-04   -0.10183E-04   -0.22862E-05   -0.18506E+01    0.22484E+00   -0.15186E-07    0.22188E-08   -0.15995E-07    0.11022E-04   -0.15186E-07    0.37305E-10   -0.24147E-09    0.52008E-09   -0.10183E-04    0.22188E-08   -0.24147E-09    0.16752E-05   -0.37309E-05   -0.22862E-05   -0.15995E-07    0.52008E-09   -0.37309E-05    0.12795E-04
    60    0.18565E+04   -0.21993E+01    0.10639E-04   -0.10178E-04   -0.81781E-06   -0.21993E+01    0.23643E+00   -0.14936E-07    0.35233E-09   -0.17370E-07    0.10639E-04   -0.14936E-07    0.35904E-10   -0.23587E-09    0.50954E-09   -0.10178E-04    0.35233E-09   -0.23587E-09    0.16510E-05   -0.36689E-05   -0.81781E-06   -0.17370E-07    0.50954E-09   -0.36689E-05    0.12601E-04
