#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.363706E-01   0.716744E+07   0.712159E+07  -0.148393E+03  -0.148445E+03   0.000000E+00   0.715986E+07   0.715986E+07   0.715986E+07  -0.165706E+00   0.368644E+07   0.368610E+07   0.315301E+01
   0.376034E-01   0.693301E+07   0.688753E+07  -0.134279E+03  -0.134326E+03   0.000000E+00   0.692549E+07   0.692549E+07   0.692549E+07  -0.160282E+00   0.356577E+07   0.356543E+07   0.299646E+01
   0.388780E-01   0.670487E+07   0.665999E+07  -0.121483E+03  -0.121525E+03   0.000000E+00   0.669745E+07   0.669745E+07   0.669745E+07  -0.155004E+00   0.344836E+07   0.344803E+07   0.283020E+01
   0.401957E-01   0.648426E+07   0.644023E+07  -0.109907E+03  -0.109945E+03   0.000000E+00   0.647697E+07   0.647697E+07   0.647697E+07  -0.149902E+00   0.333484E+07   0.333452E+07   0.265527E+01
   0.415582E-01   0.627204E+07   0.622909E+07  -0.994526E+02  -0.994872E+02   0.000000E+00   0.626493E+07   0.626493E+07   0.626493E+07  -0.144994E+00   0.322567E+07   0.322536E+07   0.247298E+01
   0.429668E-01   0.606890E+07   0.602728E+07  -0.900249E+02  -0.900562E+02   0.000000E+00   0.606201E+07   0.606201E+07   0.606201E+07  -0.140298E+00   0.312119E+07   0.312089E+07   0.228493E+01
   0.444232E-01   0.587528E+07   0.583524E+07  -0.815324E+02  -0.815608E+02   0.000000E+00   0.586866E+07   0.586866E+07   0.586866E+07  -0.135823E+00   0.302163E+07   0.302135E+07   0.209293E+01
   0.459289E-01   0.569139E+07   0.565314E+07  -0.738877E+02  -0.739134E+02   0.000000E+00   0.568506E+07   0.568506E+07   0.568506E+07  -0.131574E+00   0.292710E+07   0.292684E+07   0.189906E+01
   0.474857E-01   0.551713E+07   0.548087E+07  -0.670073E+02  -0.670306E+02   0.000000E+00   0.551113E+07   0.551113E+07   0.551113E+07  -0.127548E+00   0.283755E+07   0.283730E+07   0.170561E+01
   0.490952E-01   0.535213E+07   0.531804E+07  -0.608128E+02  -0.608339E+02   0.000000E+00   0.534649E+07   0.534649E+07   0.534649E+07  -0.123738E+00   0.275278E+07   0.275255E+07   0.151503E+01
   0.507593E-01   0.519582E+07   0.516404E+07  -0.552312E+02  -0.552504E+02   0.000000E+00   0.519057E+07   0.519057E+07   0.519057E+07  -0.120129E+00   0.267249E+07   0.267229E+07   0.132991E+01
   0.524798E-01   0.504745E+07   0.501808E+07  -0.501958E+02  -0.502132E+02   0.000000E+00   0.504259E+07   0.504259E+07   0.504259E+07  -0.116705E+00   0.259630E+07   0.259612E+07   0.115287E+01
   0.542586E-01   0.490618E+07   0.487926E+07  -0.456463E+02  -0.456622E+02   0.000000E+00   0.490173E+07   0.490173E+07   0.490173E+07  -0.113445E+00   0.252377E+07   0.252361E+07   0.986559E+00
   0.560977E-01   0.477187E+07   0.474739E+07  -0.415355E+02  -0.415499E+02   0.000000E+00   0.476782E+07   0.476782E+07   0.476782E+07  -0.110345E+00   0.245482E+07   0.245468E+07   0.833454E+00
   0.579991E-01   0.464296E+07   0.462085E+07  -0.378091E+02  -0.378222E+02   0.000000E+00   0.463931E+07   0.463931E+07   0.463931E+07  -0.107371E+00   0.238865E+07   0.238853E+07   0.695822E+00
   0.607329E-01   0.447566E+07   0.445660E+07  -0.332417E+02  -0.332533E+02   0.000000E+00   0.447251E+07   0.447251E+07   0.447251E+07  -0.103511E+00   0.230277E+07   0.230267E+07   0.534299E+00
   0.634666E-01   0.431556E+07   0.429902E+07  -0.293526E+02  -0.293628E+02   0.000000E+00   0.431282E+07   0.431282E+07   0.431282E+07  -0.998152E-01   0.222055E+07   0.222047E+07   0.414643E+00
   0.662004E-01   0.416174E+07   0.414713E+07  -0.260181E+02  -0.260271E+02   0.000000E+00   0.415932E+07   0.415932E+07   0.415932E+07  -0.962626E-01   0.214151E+07   0.214145E+07   0.333061E+00
   0.689342E-01   0.401087E+07   0.399759E+07  -0.231262E+02  -0.231342E+02   0.000000E+00   0.400867E+07   0.400867E+07   0.400867E+07  -0.927759E-01   0.206395E+07   0.206389E+07   0.284673E+00
   0.716679E-01   0.386079E+07   0.384827E+07  -0.205952E+02  -0.206023E+02   0.000000E+00   0.385872E+07   0.385872E+07   0.385872E+07  -0.893054E-01   0.198674E+07   0.198668E+07   0.263683E+00
   0.744017E-01   0.371053E+07   0.369825E+07  -0.183656E+02  -0.183720E+02   0.000000E+00   0.370850E+07   0.370850E+07   0.370850E+07  -0.858287E-01   0.190940E+07   0.190934E+07   0.263822E+00
   0.771355E-01   0.356022E+07   0.354776E+07  -0.163943E+02  -0.164000E+02   0.000000E+00   0.355816E+07   0.355816E+07   0.355816E+07  -0.823492E-01   0.183199E+07   0.183193E+07   0.278740E+00
   0.798692E-01   0.341079E+07   0.339783E+07  -0.146488E+02  -0.146539E+02   0.000000E+00   0.340865E+07   0.340865E+07   0.340865E+07  -0.788891E-01   0.175502E+07   0.175494E+07   0.302410E+00
   0.826030E-01   0.326371E+07   0.325005E+07  -0.131040E+02  -0.131085E+02   0.000000E+00   0.326145E+07   0.326145E+07   0.326145E+07  -0.754823E-01   0.167923E+07   0.167915E+07   0.329421E+00
   0.853368E-01   0.312063E+07   0.310620E+07  -0.117389E+02  -0.117430E+02   0.000000E+00   0.311825E+07   0.311825E+07   0.311825E+07  -0.721681E-01   0.160550E+07   0.160541E+07   0.355217E+00
   0.880705E-01   0.298328E+07   0.296810E+07  -0.105356E+02  -0.105393E+02   0.000000E+00   0.298077E+07   0.298077E+07   0.298077E+07  -0.689863E-01   0.153472E+07   0.153462E+07   0.376238E+00
   0.908043E-01   0.285325E+07   0.283745E+07  -0.947824E+01  -0.948154E+01   0.000000E+00   0.285064E+07   0.285064E+07   0.285064E+07  -0.659746E-01   0.146772E+07   0.146761E+07   0.389979E+00
   0.935380E-01   0.273198E+07   0.271574E+07  -0.855215E+01  -0.855512E+01   0.000000E+00   0.272929E+07   0.272929E+07   0.272929E+07  -0.631661E-01   0.140524E+07   0.140513E+07   0.394981E+00
   0.962718E-01   0.262057E+07   0.260415E+07  -0.774376E+01  -0.774645E+01   0.000000E+00   0.261785E+07   0.261785E+07   0.261785E+07  -0.605871E-01   0.134787E+07   0.134775E+07   0.390746E+00
   0.990056E-01   0.251974E+07   0.250341E+07  -0.704007E+01  -0.704252E+01   0.000000E+00   0.251704E+07   0.251704E+07   0.251704E+07  -0.582538E-01   0.129596E+07   0.129585E+07   0.377621E+00
