#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.376034E-01   0.697716E+07   0.693242E+07  -0.125828E+03  -0.125876E+03   0.000000E+00   0.696994E+07   0.696994E+07   0.696994E+07  -0.165474E+00   0.364062E+07   0.364028E+07   0.298419E+01
   0.388780E-01   0.675131E+07   0.670712E+07  -0.113901E+03  -0.113944E+03   0.000000E+00   0.674418E+07   0.674418E+07   0.674418E+07  -0.160115E+00   0.352270E+07   0.352237E+07   0.282287E+01
   0.401957E-01   0.653243E+07   0.648901E+07  -0.103099E+03  -0.103138E+03   0.000000E+00   0.652543E+07   0.652543E+07   0.652543E+07  -0.154921E+00   0.340843E+07   0.340811E+07   0.265280E+01
   0.415582E-01   0.632139E+07   0.627898E+07  -0.933327E+02  -0.933681E+02   0.000000E+00   0.631455E+07   0.631455E+07   0.631455E+07  -0.149915E+00   0.329828E+07   0.329798E+07   0.247521E+01
   0.429668E-01   0.611890E+07   0.607773E+07  -0.845161E+02  -0.845481E+02   0.000000E+00   0.611226E+07   0.611226E+07   0.611226E+07  -0.145112E+00   0.319262E+07   0.319233E+07   0.229159E+01
   0.444232E-01   0.592546E+07   0.588577E+07  -0.765660E+02  -0.765951E+02   0.000000E+00   0.591906E+07   0.591906E+07   0.591906E+07  -0.140525E+00   0.309171E+07   0.309143E+07   0.210370E+01
   0.459289E-01   0.574133E+07   0.570335E+07  -0.694029E+02  -0.694293E+02   0.000000E+00   0.573520E+07   0.573520E+07   0.573520E+07  -0.136160E+00   0.299567E+07   0.299541E+07   0.191352E+01
   0.474857E-01   0.556650E+07   0.553042E+07  -0.629509E+02  -0.629747E+02   0.000000E+00   0.556068E+07   0.556068E+07   0.556068E+07  -0.132017E+00   0.290451E+07   0.290427E+07   0.172326E+01
   0.490952E-01   0.540068E+07   0.536669E+07  -0.571381E+02  -0.571597E+02   0.000000E+00   0.539520E+07   0.539520E+07   0.539520E+07  -0.128088E+00   0.281807E+07   0.281785E+07   0.153530E+01
   0.507593E-01   0.524337E+07   0.521160E+07  -0.518977E+02  -0.519174E+02   0.000000E+00   0.523825E+07   0.523825E+07   0.523825E+07  -0.124362E+00   0.273609E+07   0.273588E+07   0.135216E+01
   0.524798E-01   0.509387E+07   0.506444E+07  -0.471681E+02  -0.471860E+02   0.000000E+00   0.508912E+07   0.508912E+07   0.508912E+07  -0.120822E+00   0.265820E+07   0.265801E+07   0.117641E+01
   0.542586E-01   0.495140E+07   0.492436E+07  -0.428938E+02  -0.429100E+02   0.000000E+00   0.494704E+07   0.494704E+07   0.494704E+07  -0.117449E+00   0.258398E+07   0.258382E+07   0.101067E+01
   0.560977E-01   0.481514E+07   0.479048E+07  -0.390249E+02  -0.390397E+02   0.000000E+00   0.481116E+07   0.481116E+07   0.481116E+07  -0.114223E+00   0.251300E+07   0.251286E+07   0.857403E+00
   0.579991E-01   0.468497E+07   0.466265E+07  -0.355228E+02  -0.355363E+02   0.000000E+00   0.468137E+07   0.468137E+07   0.468137E+07  -0.111141E+00   0.244521E+07   0.244508E+07   0.718894E+00
   0.607329E-01   0.451597E+07   0.449666E+07  -0.312303E+02  -0.312421E+02   0.000000E+00   0.451286E+07   0.451286E+07   0.451286E+07  -0.107140E+00   0.235719E+07   0.235708E+07   0.555078E+00
   0.634666E-01   0.435520E+07   0.433842E+07  -0.275813E+02  -0.275918E+02   0.000000E+00   0.435250E+07   0.435250E+07   0.435250E+07  -0.103333E+00   0.227342E+07   0.227334E+07   0.432176E+00
   0.662004E-01   0.420133E+07   0.418652E+07  -0.244559E+02  -0.244652E+02   0.000000E+00   0.419894E+07   0.419894E+07   0.419894E+07  -0.996877E-01   0.219322E+07   0.219315E+07   0.346782E+00
